SeqParameter4	MeanExcitation	PMTExcitation	Parity	P0	time	CavIonDifference	CavityDrift	BField	BDrift	RSFreqReal	MacFreq00	MacFreq01	MacFreq02	MacFreq03	MacFreq04	MacFreq05	MacFreq06	MacFreq07	MacFreq08	MacFreq09	MacFreq10	MacFreq11	MacFreq12	MacFreq13	MacFreq14
0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.545729859E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
1.000000000E+0	9.800000000E-1	9.800000000E-1	9.800000000E-1	2.000000000E-2	9.800000000E-1	3.545729862E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
2.000000000E+0	9.500000000E-1	9.500000000E-1	9.500000000E-1	5.000000000E-2	9.500000000E-1	3.545729864E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
3.000000000E+0	9.700000000E-1	9.700000000E-1	9.700000000E-1	3.000000000E-2	9.700000000E-1	3.545729867E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
4.000000000E+0	9.600000000E-1	9.600000000E-1	9.600000000E-1	4.000000000E-2	9.600000000E-1	3.545729870E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
5.000000000E+0	8.300000000E-1	8.300000000E-1	8.300000000E-1	1.700000000E-1	8.300000000E-1	3.545729873E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
6.000000000E+0	9.800000000E-1	9.800000000E-1	9.800000000E-1	2.000000000E-2	9.800000000E-1	3.545729877E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
7.000000000E+0	8.000000000E-1	8.000000000E-1	8.000000000E-1	2.000000000E-1	8.000000000E-1	3.545729881E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
8.000000000E+0	8.900000000E-1	8.900000000E-1	8.900000000E-1	1.100000000E-1	8.900000000E-1	3.545729885E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
9.000000000E+0	8.300000000E-1	8.300000000E-1	8.300000000E-1	1.700000000E-1	8.300000000E-1	3.545729890E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
